country,date,arrivals,arrivals_male,arrivals_female
AGO,2022-11-01,4,4,0
AGO,2022-12-01,3,3,0
AGO,2023-01-01,1,1,0
AGO,2023-02-01,5,4,1
AGO,2023-03-01,22,20,2
AGO,2023-04-01,2,0,2
AGO,2023-05-01,6,5,1
AGO,2023-06-01,12,8,4
AGO,2023-07-01,8,8,0
AGO,2023-08-01,4,3,1
AGO,2023-09-01,7,3,4
AGO,2023-10-01,5,4,1
AGO,2023-11-01,3,3,0
AIA,2020-01-01,0,0,0
AIA,2020-02-01,0,0,0
AIA,2020-03-01,0,0,0
AIA,2020-04-01,0,0,0
AIA,2020-05-01,0,0,0
AIA,2020-06-01,0,0,0
AIA,2020-07-01,0,0,0
AIA,2020-08-01,0,0,0
AIA,2020-09-01,0,0,0
AIA,2020-10-01,0,0,0
AIA,2020-11-01,0,0,0
AIA,2020-12-01,0,0,0
AIA,2021-01-01,0,0,0
AIA,2021-02-01,0,0,0
AIA,2021-03-01,0,0,0
AIA,2021-04-01,0,0,0
AIA,2021-05-01,0,0,0
AIA,2021-06-01,0,0,0
AIA,2021-07-01,0,0,0
AIA,2021-08-01,0,0,0
AIA,2021-09-01,0,0,0
AIA,2021-10-01,0,0,0
AIA,2021-11-01,0,0,0
AIA,2021-12-01,0,0,0
AIA,2022-01-01,0,0,0
AIA,2022-02-01,0,0,0
AIA,2022-03-01,0,0,0
AIA,2022-04-01,0,0,0
AIA,2022-05-01,0,0,0
AIA,2022-06-01,0,0,0
AIA,2022-07-01,0,0,0
AIA,2022-08-01,0,0,0
AIA,2022-09-01,0,0,0
AIA,2022-10-01,0,0,0
AIA,2022-11-01,1,1,0
AIA,2022-12-01,0,0,0
AIA,2023-01-01,0,0,0
AIA,2023-02-01,0,0,0
AIA,2023-03-01,0,0,0
AIA,2023-04-01,0,0,0
AIA,2023-05-01,0,0,0
AIA,2023-06-01,0,0,0
AIA,2023-07-01,0,0,0
AIA,2023-08-01,0,0,0
AIA,2023-09-01,0,0,0
AIA,2023-10-01,0,0,0
AIA,2023-11-01,1,1,0
ALB,2020-01-01,109,56,53
ALB,2020-02-01,57,30,27
ALB,2020-03-01,27,17,10
ALB,2020-04-01,0,0,0
ALB,2020-05-01,0,0,0
ALB,2020-06-01,0,0,0
ALB,2020-07-01,0,0,0
ALB,2020-08-01,0,0,0
ALB,2020-09-01,0,0,0
ALB,2020-10-01,3,2,1
ALB,2020-11-01,0,0,0
ALB,2020-12-01,1,1,0
ALB,2021-01-01,1,1,0
ALB,2021-02-01,0,0,0
ALB,2021-03-01,0,0,0
ALB,2021-04-01,4,3,1
ALB,2021-05-01,1,0,1
ALB,2021-06-01,1,0,1
ALB,2021-07-01,0,0,0
ALB,2021-08-01,0,0,0
ALB,2021-09-01,2,1,1
ALB,2021-10-01,1,1,0
ALB,2021-11-01,0,0,0
ALB,2021-12-01,5,4,1
ALB,2022-01-01,5,4,1
ALB,2022-02-01,3,2,1
ALB,2022-03-01,3,2,1
ALB,2022-04-01,19,11,8
ALB,2022-05-01,20,15,5
ALB,2022-06-01,13,8,5
ALB,2022-07-01,33,20,13
ALB,2022-08-01,54,35,19
ALB,2022-09-01,42,21,21
ALB,2022-10-01,64,47,17
ALB,2022-11-01,41,27,14
ALB,2022-12-01,53,32,21
ALB,2023-01-01,55,34,21
ALB,2023-02-01,37,26,11
ALB,2023-03-01,51,35,16
ALB,2023-04-01,45,35,10
ALB,2023-05-01,47,34,13
ALB,2023-06-01,26,20,6
ALB,2023-07-01,47,30,17
ALB,2023-08-01,68,42,26
ALB,2023-09-01,60,37,23
ALB,2023-10-01,62,38,24
ALB,2023-11-01,55,38,17
AND,2020-01-01,5,3,2
AND,2020-02-01,9,5,4
AND,2020-03-01,1,1,0
AND,2020-04-01,0,0,0
AND,2020-05-01,0,0,0
AND,2020-06-01,0,0,0
AND,2020-07-01,0,0,0
AND,2020-08-01,0,0,0
AND,2020-09-01,0,0,0
AND,2020-10-01,0,0,0
AND,2020-11-01,0,0,0
AND,2020-12-01,0,0,0
AND,2021-01-01,0,0,0
AND,2021-02-01,0,0,0
AND,2021-03-01,0,0,0
AND,2021-04-01,0,0,0
AND,2021-05-01,0,0,0
AND,2021-06-01,0,0,0
AND,2021-07-01,0,0,0
AND,2021-08-01,0,0,0
AND,2021-09-01,0,0,0
AND,2021-10-01,0,0,0
AND,2021-11-01,0,0,0
AND,2021-12-01,0,0,0
AND,2022-01-01,0,0,0
AND,2022-02-01,0,0,0
AND,2022-03-01,0,0,0
AND,2022-04-01,2,2,0
AND,2022-05-01,2,1,1
AND,2022-06-01,3,1,2
AND,2022-07-01,5,2,3
AND,2022-08-01,5,2,3
AND,2022-09-01,9,5,4
AND,2022-10-01,6,3,3
AND,2022-11-01,4,1,3
AND,2022-12-01,0,0,0
AND,2023-01-01,3,1,2
AND,2023-02-01,5,3,2
AND,2023-03-01,0,0,0
AND,2023-04-01,4,2,2
AND,2023-05-01,3,2,1
AND,2023-06-01,1,1,0
AND,2023-07-01,7,3,4
AND,2023-08-01,17,8,9
AND,2023-09-01,8,4,4
AND,2023-10-01,15,11,4
AND,2023-11-01,9,4,5
ANT,2020-01-01,0,0,0
ANT,2020-02-01,0,0,0
ANT,2020-03-01,0,0,0
ANT,2020-04-01,0,0,0
ANT,2020-05-01,0,0,0
ANT,2020-06-01,0,0,0
ANT,2020-07-01,0,0,0
ANT,2020-08-01,0,0,0
ANT,2020-09-01,0,0,0
ANT,2020-10-01,0,0,0
ANT,2020-11-01,0,0,0
ANT,2020-12-01,0,0,0
ANT,2021-01-01,0,0,0
ANT,2021-02-01,0,0,0
ANT,2021-03-01,0,0,0
ANT,2021-04-01,0,0,0
ANT,2021-05-01,0,0,0
ANT,2021-06-01,0,0,0
ANT,2021-07-01,1,0,1
ANT,2021-08-01,0,0,0
ANT,2021-09-01,0,0,0
ANT,2021-10-01,0,0,0
ANT,2021-11-01,0,0,0
ANT,2021-12-01,0,0,0
ANT,2022-01-01,0,0,0
ANT,2022-02-01,0,0,0
ANT,2022-03-01,0,0,0
ANT,2022-04-01,0,0,0
ANT,2022-05-01,0,0,0
ANT,2022-06-01,0,0,0
ANT,2022-07-01,0,0,0
ANT,2022-08-01,0,0,0
ANT,2022-09-01,0,0,0
ANT,2022-10-01,0,0,0
ANT,2022-11-01,0,0,0
ANT,2022-12-01,0,0,0
ANT,2023-01-01,0,0,0
ANT,2023-02-01,0,0,0
ANT,2023-03-01,0,0,0
ANT,2023-04-01,0,0,0
ANT,2023-05-01,0,0,0
ANT,2023-06-01,0,0,0
ANT,2023-07-01,0,0,0
ANT,2023-08-01,0,0,0
ANT,2023-09-01,0,0,0
ANT,2023-10-01,0,0,0
ANT,2023-11-01,0,0,0
ARE,2020-01-01,401,272,129
ARE,2020-02-01,252,181,71
ARE,2020-03-01,64,53,11
ARE,2020-04-01,2,2,0
ARE,2020-05-01,0,0,0
ARE,2020-06-01,2,2,0
ARE,2020-07-01,5,1,4
ARE,2020-08-01,8,5,3
ARE,2020-09-01,1,0,1
ARE,2020-10-01,6,4,2
ARE,2020-11-01,0,0,0
ARE,2020-12-01,10,5,5
ARE,2021-01-01,8,7,1
ARE,2021-02-01,2,1,1
ARE,2021-03-01,4,4,0
ARE,2021-04-01,5,4,1
ARE,2021-05-01,11,6,5
ARE,2021-06-01,1,0,1
ARE,2021-07-01,1,1,0
ARE,2021-08-01,1,1,0
ARE,2021-09-01,45,44,1
ARE,2021-10-01,2,2,0
ARE,2021-11-01,2,1,1
ARE,2021-12-01,21,15,6
ARE,2022-01-01,10,7,3
ARE,2022-02-01,6,5,1
ARE,2022-03-01,34,19,15
ARE,2022-04-01,65,38,27
ARE,2022-05-01,230,158,72
ARE,2022-06-01,195,132,63
ARE,2022-07-01,711,371,340
ARE,2022-08-01,645,339,306
ARE,2022-09-01,234,175,59
ARE,2022-10-01,356,259,97
ARE,2022-11-01,404,278,126
ARE,2022-12-01,734,377,357
ARE,2023-01-01,286,177,109
ARE,2023-02-01,286,197,89
ARE,2023-03-01,241,174,67
ARE,2023-04-01,210,126,84
ARE,2023-05-01,606,453,153
ARE,2023-06-01,766,421,345
ARE,2023-07-01,2215,1098,1117
ARE,2023-08-01,1518,791,727
ARE,2023-09-01,379,253,126
ARE,2023-10-01,427,262,165
ARE,2023-11-01,385,245,140
ARG,2020-01-01,1467,762,705
ARG,2020-02-01,824,444,380
ARG,2020-03-01,511,270,241
ARG,2020-04-01,0,0,0
ARG,2020-05-01,0,0,0
ARG,2020-06-01,0,0,0
ARG,2020-07-01,4,2,2
ARG,2020-08-01,2,0,2
ARG,2020-09-01,1,1,0
ARG,2020-10-01,1,0,1
ARG,2020-11-01,3,3,0
ARG,2020-12-01,10,5,5
ARG,2021-01-01,13,4,9
ARG,2021-02-01,4,4,0
ARG,2021-03-01,8,6,2
ARG,2021-04-01,2,1,1
ARG,2021-05-01,6,6,0
ARG,2021-06-01,7,4,3
ARG,2021-07-01,10,8,2
ARG,2021-08-01,19,13,6
ARG,2021-09-01,4,1,3
ARG,2021-10-01,12,7,5
ARG,2021-11-01,1,0,1
ARG,2021-12-01,11,5,6
ARG,2022-01-01,42,24,18
ARG,2022-02-01,19,13,6
ARG,2022-03-01,25,15,10
ARG,2022-04-01,100,72,28
ARG,2022-05-01,172,105,67
ARG,2022-06-01,184,109,75
ARG,2022-07-01,282,164,118
ARG,2022-08-01,259,144,115
ARG,2022-09-01,296,171,125
ARG,2022-10-01,381,211,170
ARG,2022-11-01,361,220,141
ARG,2022-12-01,311,164,147
ARG,2023-01-01,710,379,331
ARG,2023-02-01,456,263,193
ARG,2023-03-01,536,292,244
ARG,2023-04-01,523,270,253
ARG,2023-05-01,457,246,211
ARG,2023-06-01,313,180,133
ARG,2023-07-01,503,266,237
ARG,2023-08-01,484,256,228
ARG,2023-09-01,484,270,214
ARG,2023-10-01,512,295,217
ARG,2023-11-01,556,312,244
ARM,2020-01-01,91,27,64
ARM,2020-02-01,69,38,31
ARM,2020-03-01,24,12,12
ARM,2020-04-01,0,0,0
ARM,2020-05-01,0,0,0
ARM,2020-06-01,0,0,0
ARM,2020-07-01,0,0,0
ARM,2020-08-01,0,0,0
ARM,2020-09-01,0,0,0
ARM,2020-10-01,0,0,0
ARM,2020-11-01,0,0,0
ARM,2020-12-01,0,0,0
ARM,2021-01-01,0,0,0
ARM,2021-02-01,1,0,1
ARM,2021-03-01,1,0,1
ARM,2021-04-01,1,1,0
ARM,2021-05-01,1,0,1
ARM,2021-06-01,0,0,0
ARM,2021-07-01,3,2,1
ARM,2021-08-01,0,0,0
ARM,2021-09-01,0,0,0
ARM,2021-10-01,0,0,0
ARM,2021-11-01,0,0,0
ARM,2021-12-01,1,0,1
ARM,2022-01-01,6,2,4
ARM,2022-02-01,1,0,1
ARM,2022-03-01,2,0,2
ARM,2022-04-01,10,3,7
ARM,2022-05-01,11,4,7
ARM,2022-06-01,17,5,12
ARM,2022-07-01,32,17,15
ARM,2022-08-01,22,12,10
ARM,2022-09-01,36,20,16
ARM,2022-10-01,34,21,13
ARM,2022-11-01,32,12,20
ARM,2022-12-01,55,26,29
ARM,2023-01-01,56,27,29
ARM,2023-02-01,45,20,25
ARM,2023-03-01,131,53,78
ARM,2023-04-01,50,34,16
ARM,2023-05-01,72,35,37
ARM,2023-06-01,112,37,75
ARM,2023-07-01,135,52,83
ARM,2023-08-01,54,27,27
ARM,2023-09-01,60,35,25
ARM,2023-10-01,282,87,195
ARM,2023-11-01,39,23,16
ATA,2020-01-01,0,0,0
ATA,2020-02-01,1,0,1
ATA,2020-03-01,0,0,0
ATA,2020-04-01,0,0,0
ATA,2020-05-01,0,0,0
ATA,2020-06-01,0,0,0
ATA,2020-07-01,0,0,0
ATA,2020-08-01,0,0,0
ATA,2020-09-01,0,0,0
ATA,2020-10-01,0,0,0
ATA,2020-11-01,0,0,0
ATA,2020-12-01,0,0,0
ATA,2021-01-01,0,0,0
ATA,2021-02-01,0,0,0
ATA,2021-03-01,0,0,0
ATA,2021-04-01,0,0,0
ATA,2021-05-01,0,0,0
ATA,2021-06-01,0,0,0
ATA,2021-07-01,0,0,0
ATA,2021-08-01,0,0,0
ATA,2021-09-01,0,0,0
ATA,2021-10-01,0,0,0
ATA,2021-11-01,0,0,0
ATA,2021-12-01,0,0,0
ATA,2022-01-01,0,0,0
ATA,2022-02-01,0,0,0
ATA,2022-03-01,0,0,0
ATA,2022-04-01,1,0,1
ATA,2022-05-01,1,1,0
ATA,2022-06-01,0,0,0
ATA,2022-07-01,0,0,0
ATA,2022-08-01,0,0,0
ATA,2022-09-01,0,0,0
ATA,2022-10-01,0,0,0
ATA,2022-11-01,0,0,0
ATA,2022-12-01,0,0,0
ATA,2023-01-01,0,0,0
ATA,2023-02-01,0,0,0
ATA,2023-03-01,0,0,0
ATA,2023-04-01,0,0,0
ATA,2023-05-01,0,0,0
ATA,2023-06-01,0,0,0
ATA,2023-07-01,0,0,0
ATA,2023-08-01,0,0,0
ATA,2023-09-01,0,0,0
ATA,2023-10-01,0,0,0
ATA,2023-11-01,0,0,0
ATG,2020-01-01,28,15,13
ATG,2020-02-01,13,8,5
ATG,2020-03-01,7,6,1
ATG,2020-04-01,0,0,0
ATG,2020-05-01,0,0,0
ATG,2020-06-01,0,0,0
ATG,2020-07-01,0,0,0
ATG,2020-08-01,0,0,0
ATG,2020-09-01,0,0,0
ATG,2020-10-01,1,1,0
ATG,2020-11-01,0,0,0
ATG,2020-12-01,0,0,0
ATG,2021-01-01,0,0,0
ATG,2021-02-01,0,0,0
ATG,2021-03-01,0,0,0
ATG,2021-04-01,0,0,0
ATG,2021-05-01,0,0,0
ATG,2021-06-01,0,0,0
ATG,2021-07-01,0,0,0
ATG,2021-08-01,0,0,0
ATG,2021-09-01,0,0,0
ATG,2021-10-01,0,0,0
ATG,2021-11-01,1,0,1
ATG,2021-12-01,1,1,0
ATG,2022-01-01,0,0,0
ATG,2022-02-01,5,2,3
ATG,2022-03-01,6,4,2
ATG,2022-04-01,7,5,2
ATG,2022-05-01,5,5,0
ATG,2022-06-01,15,10,5
ATG,2022-07-01,9,6,3
ATG,2022-08-01,20,13,7
ATG,2022-09-01,17,10,7
ATG,2022-10-01,31,18,13
ATG,2022-11-01,9,9,0
ATG,2022-12-01,16,7,9
ATG,2023-01-01,22,12,10
ATG,2023-02-01,15,11,4
ATG,2023-03-01,30,18,12
ATG,2023-04-01,19,14,5
ATG,2023-05-01,14,12,2
ATG,2023-06-01,18,14,4
ATG,2023-07-01,33,27,6
ATG,2023-08-01,38,21,17
ATG,2023-09-01,25,15,10
ATG,2023-10-01,14,12,2
ATG,2023-11-01,18,13,5
AUS,2020-01-01,51998,28936,23062
AUS,2020-02-01,22818,14122,8696
AUS,2020-03-01,9409,5810,3599
AUS,2020-04-01,9,8,1
AUS,2020-05-01,42,35,7
AUS,2020-06-01,41,26,15
AUS,2020-07-01,172,121,51
AUS,2020-08-01,125,83,42
AUS,2020-09-01,135,102,33
AUS,2020-10-01,101,66,35
AUS,2020-11-01,175,133,42
AUS,2020-12-01,123,81,42
AUS,2021-01-01,152,99,53
AUS,2021-02-01,87,55,32
AUS,2021-03-01,94,75,19
AUS,2021-04-01,113,75,38
AUS,2021-05-01,78,56,22
AUS,2021-06-01,55,42,13
AUS,2021-07-01,99,55,44
AUS,2021-08-01,147,78,69
AUS,2021-09-01,101,67,34
AUS,2021-10-01,125,85,40
AUS,2021-11-01,221,141,80
AUS,2021-12-01,628,406,222
AUS,2022-01-01,973,612,361
AUS,2022-02-01,570,374,196
AUS,2022-03-01,834,553,281
AUS,2022-04-01,7148,4308,2840
AUS,2022-05-01,9469,6077,3392
AUS,2022-06-01,13292,7968,5324
AUS,2022-07-01,18810,11000,7810
AUS,2022-08-01,16843,10140,6703
AUS,2022-09-01,21744,12753,8991
AUS,2022-10-01,24169,14460,9709
AUS,2022-11-01,25521,14900,10621
AUS,2022-12-01,40002,21973,18029
AUS,2023-01-01,43421,23741,19680
AUS,2023-02-01,23413,13849,9564
AUS,2023-03-01,26635,15622,11013
AUS,2023-04-01,33383,18656,14727
AUS,2023-05-01,25757,14882,10875
AUS,2023-06-01,26137,14775,11362
AUS,2023-07-01,39291,22104,17187
AUS,2023-08-01,28940,17042,11898
AUS,2023-09-01,38952,22092,16860
AUS,2023-10-01,33023,19016,14007
AUS,2023-11-01,35471,20739,14732
AUT,2020-01-01,1480,960,520
AUT,2020-02-01,1629,979,650
AUT,2020-03-01,609,379,230
AUT,2020-04-01,1,1,0
AUT,2020-05-01,0,0,0
AUT,2020-06-01,0,0,0
AUT,2020-07-01,13,9,4
AUT,2020-08-01,16,10,6
AUT,2020-09-01,11,8,3
AUT,2020-10-01,8,6,2
AUT,2020-11-01,4,4,0
AUT,2020-12-01,5,5,0
AUT,2021-01-01,19,14,5
AUT,2021-02-01,13,13,0
AUT,2021-03-01,7,7,0
AUT,2021-04-01,17,13,4
AUT,2021-05-01,11,10,1
AUT,2021-06-01,8,8,0
AUT,2021-07-01,12,8,4
AUT,2021-08-01,29,19,10
AUT,2021-09-01,33,28,5
AUT,2021-10-01,26,22,4
AUT,2021-11-01,31,23,8
AUT,2021-12-01,21,15,6
AUT,2022-01-01,66,54,12
AUT,2022-02-01,46,39,7
AUT,2022-03-01,84,76,8
AUT,2022-04-01,334,231,103
AUT,2022-05-01,438,310,128
AUT,2022-06-01,444,307,137
AUT,2022-07-01,939,590,349
AUT,2022-08-01,986,611,375
AUT,2022-09-01,833,540,293
AUT,2022-10-01,825,582,243
AUT,2022-11-01,984,645,339
AUT,2022-12-01,1047,635,412
AUT,2023-01-01,1230,739,491
AUT,2023-02-01,1380,814,566
AUT,2023-03-01,1115,715,400
AUT,2023-04-01,978,593,385
AUT,2023-05-01,1070,671,399
AUT,2023-06-01,613,413,200
AUT,2023-07-01,1391,793,598
AUT,2023-08-01,1567,948,619
AUT,2023-09-01,1130,689,441
AUT,2023-10-01,1067,675,392
AUT,2023-11-01,1339,914,425
AZE,2020-01-01,183,107,76
AZE,2020-02-01,100,60,40
AZE,2020-03-01,28,20,8
AZE,2020-04-01,0,0,0
AZE,2020-05-01,1,1,0
AZE,2020-06-01,0,0,0
AZE,2020-07-01,1,1,0
AZE,2020-08-01,0,0,0
AZE,2020-09-01,2,1,1
AZE,2020-10-01,4,2,2
AZE,2020-11-01,2,2,0
AZE,2020-12-01,1,1,0
AZE,2021-01-01,1,1,0
AZE,2021-02-01,0,0,0
AZE,2021-03-01,4,2,2
AZE,2021-04-01,1,1,0
AZE,2021-05-01,4,3,1
AZE,2021-06-01,1,1,0
AZE,2021-07-01,5,3,2
AZE,2021-08-01,11,5,6
AZE,2021-09-01,2,1,1
AZE,2021-10-01,6,2,4
AZE,2021-11-01,7,6,1
AZE,2021-12-01,1,1,0
AZE,2022-01-01,14,9,5
AZE,2022-02-01,3,3,0
AZE,2022-03-01,12,10,2
AZE,2022-04-01,21,16,5
AZE,2022-05-01,33,20,13
AZE,2022-06-01,42,27,15
AZE,2022-07-01,60,36,24
AZE,2022-08-01,114,54,60
AZE,2022-09-01,68,31,37
AZE,2022-10-01,83,53,30
AZE,2022-11-01,77,47,30
AZE,2022-12-01,118,66,52
AZE,2023-01-01,86,48,38
AZE,2023-02-01,77,48,29
AZE,2023-03-01,243,115,128
AZE,2023-04-01,82,41,41
AZE,2023-05-01,127,77,50
AZE,2023-06-01,98,69,29
AZE,2023-07-01,166,92,74
AZE,2023-08-01,139,74,65
AZE,2023-09-01,157,95,62
AZE,2023-10-01,136,72,64
AZE,2023-11-01,165,91,74
BDI,2020-01-01,2,2,0
BDI,2020-02-01,1,0,1
BDI,2020-03-01,1,1,0
BDI,2020-04-01,0,0,0
BDI,2020-05-01,0,0,0
BDI,2020-06-01,0,0,0
BDI,2020-07-01,0,0,0
BDI,2020-08-01,0,0,0
BDI,2020-09-01,0,0,0
BDI,2020-10-01,0,0,0
BDI,2020-11-01,0,0,0
BDI,2020-12-01,0,0,0
BDI,2021-01-01,0,0,0
BDI,2021-02-01,0,0,0
BDI,2021-03-01,1,1,0
BDI,2021-04-01,3,1,2
BDI,2021-05-01,5,2,3
BDI,2021-06-01,0,0,0
BDI,2021-07-01,1,0,1
BDI,2021-08-01,2,1,1
BDI,2021-09-01,0,0,0
BDI,2021-10-01,0,0,0
BDI,2021-11-01,0,0,0
BDI,2021-12-01,0,0,0
BDI,2022-01-01,2,2,0
BDI,2022-02-01,1,1,0
BDI,2022-03-01,0,0,0
BDI,2022-04-01,6,3,3
BDI,2022-05-01,0,0,0
BDI,2022-06-01,0,0,0
BDI,2022-07-01,2,1,1
BDI,2022-08-01,4,2,2
BDI,2022-09-01,2,1,1
BDI,2022-10-01,7,5,2
BDI,2022-11-01,6,4,2
BDI,2022-12-01,1,0,1
BDI,2023-01-01,10,5,5
BDI,2023-02-01,3,2,1
BDI,2023-03-01,4,1,3
BDI,2023-04-01,5,3,2
BDI,2023-05-01,2,1,1
BDI,2023-06-01,8,3,5
BDI,2023-07-01,3,2,1
BDI,2023-08-01,3,1,2
BDI,2023-09-01,32,9,23
BDI,2023-10-01,1,0,1
BDI,2023-11-01,3,1,2
BEL,2020-01-01,1779,1153,626
BEL,2020-02-01,1760,1148,612
BEL,2020-03-01,854,553,301
BEL,2020-04-01,7,6,1
BEL,2020-05-01,1,0,1
BEL,2020-06-01,0,0,0
BEL,2020-07-01,12,10,2
BEL,2020-08-01,9,9,0
